nome,bairro,preco,score,oportunidade,tipo,cidade,entrada_minima,renda_minima,alerta,compatibilidade,imagem
Acqua Venture América,SIM,170990.00,,,Apartamento,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2026/03/fachada-cortada.png
Allegro Residence,SIM,185000.00,,,Casa e Apartamento,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2025/09/Allegro2-1.jpg
Art Residence,SIM,270000.00,,,Casa,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2025/11/20230808T1412110300-755420850-1.jpg
Atlanta Residence Park,SIM,230000.00,,,Casa e Apartamento,Feira de Santana,,,,,
Atlanta Residence Park 2,SIM,205000.00,,,Casa e Apartamento,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2026/03/Atlanta-2-apart.jpg
Belvedere Jardin Residence,SIM,1200000.00,,,Lote,Feira de Santana,,,,,
Benedetto Residence,SIM,280000.00,,,Casa,Feira de Santana,,,,,
Bless Houses,SIM,750000.00,,,Casa,Feira de Santana,,,,,
Elevatto Design Residence,SIM,730000.00,,,Casa,Feira de Santana,,,,,
Essence Residence,SIM,700000.00,,,Casa,Feira de Santana,,,,,
Fibonacci,SIM,629226.00,,,Lote,Feira de Santana,,,,,
Graziato Residence,SIM,300000.00,,,Casa,Feira de Santana,,,,,
Horto Madero,SIM,439990.00,,,Casa,Feira de Santana,,,,,
Link Artêmia,SIM,600000.00,,,Apartamento,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2025/11/LINK_OFICIAL01.webp
Reserva Dual,SIM,400000.00,,,Casa,Feira de Santana,,,,,
Reserva Humaita,SIM,219900.00,,,Casa,Feira de Santana,,,,,
Reserva Noronha,SIM,210990.00,,,Casa,Feira de Santana,,,,,
Reserva Pati,SIM,176990.00,,,Apartamento,Feira de Santana,,,,,
Soul Residence,SIM,200990.00,,,Apartamento,Feira de Santana,,,,,
Speranza Residence,SIM,225000.00,,,Apartamento,Feira de Santana,,,,,
Uniq Artêmia,SIM,220990.00,,,Apartamento,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2025/11/Uniq-Artemia.jpg
Uniq Sossego,SIM,173900.00,,,Apartamento,Feira de Santana,,,,,
UP Sim,SIM,194990.00,,,Apartamento,Feira de Santana,,,,,
Vicenza Residence,SIM,200000.00,,,Apartamento,Feira de Santana,,,,,
Acqua Venture Europa,Papagaio,170990.00,,,Apartamento,Feira de Santana,,,,,
Acqua Venture Europa 2,Papagaio,174990.00,,,Apartamento,Feira de Santana,,,,,
Álamo Residence,Papagaio,190000.00,,,Casa e Apartamento,Feira de Santana,,,,,
Amoras Residence,Papagaio,173990.00,,,Apartamento,Feira de Santana,,,,,
Áster Residence,Papagaio,182990.00,,,Casa e Apartamento,Feira de Santana,,,,,
Blend Papagaio,Papagaio,178990.00,,,Casa e Apartamento,Feira de Santana,,,,,https://metrosquare.com.br/wp-content/uploads/2026/03/Blend-Papagaio-fachada-apart.jpg
Cedro Residence,Papagaio,186990.00,,,Apartamento,Feira de Santana,,,,,
Exclusive Residence,Papagaio,196990.00,,,Apartamento,Feira de Santana,,,,,
Jasmin Residence,Papagaio,177990.00,,,Apartamento,Feira de Santana,,,,,
Lírio Residence,Papagaio,180990.00,,,Casa e Apartamento,Feira de Santana,,,,,
Mon Jardim,Papagaio,300921.00,,,Lote,Feira de Santana,,,,,
Olivas Residence,Papagaio,178990.00,,,Apartamento,Feira de Santana,,,,,
Portal das Esmeraldas,Papagaio,179900.00,,,Casa,Feira de Santana,,,,,
Residencial Jardins,Papagaio,196990.00,,,Apartamento,Feira de Santana,,,,,
Summer Residence,Papagaio,226892.00,,,Casa,Feira de Santana,,,,,
Uniq Papagaio,Papagaio,200990.00,,,Apartamento,Feira de Santana,,,,,
Vale do Rubi,Papagaio,175900.00,,,Apartamento,Feira de Santana,,,,,
Verde Ágata,Papagaio,172900.00,,,Apartamento,Feira de Santana,,,,,
